service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20250622,20250726
2,0,0,0,0,0,1,0,20250622,20250726
3,0,0,0,0,0,0,1,20250622,20250726
4,0,0,0,0,0,0,0,20250622,20250726
501,0,0,0,0,0,0,0,20250622,20250726
4401,0,0,0,0,0,0,0,20250622,20250726
4501,0,0,0,0,0,0,0,20250622,20250726
7001,0,0,0,0,0,0,0,20250622,20250726
2901,0,0,0,0,0,0,0,20250622,20250726
2902,0,0,0,0,0,0,0,20250622,20250726
2903,0,0,0,0,0,0,0,20250622,20250726
2904,0,0,0,0,0,0,0,20250622,20250726
